initial_number_sheep,initial_number_wolves,grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,technique,sample_size
177,193,0,26,33,4,12,random,1250
58,36,74,38,55,10,10,random,1250
87,88,75,49,65,19,6,random,1250
146,79,85,35,31,7,17,random,1250
228,98,69,0,66,13,4,random,1250
210,207,16,4,1,1,20,random,1250
126,224,53,28,84,15,20,random,1250
23,248,27,19,60,10,20,random,1250
58,137,95,33,9,19,10,random,1250
83,35,82,5,78,19,16,random,1250
81,182,18,40,2,7,6,random,1250
73,117,97,38,92,20,18,random,1250
87,76,41,44,61,11,8,random,1250
60,220,70,49,12,19,13,random,1250
241,207,37,18,46,3,10,random,1250
248,139,94,33,46,17,9,random,1250
67,37,43,39,42,18,7,random,1250
175,194,8,18,25,9,17,random,1250
215,179,44,7,49,17,3,random,1250
159,130,58,27,83,6,15,random,1250
186,155,29,42,68,17,5,random,1250
213,225,96,37,92,4,14,random,1250
158,209,33,21,95,14,18,random,1250
188,59,27,22,53,4,17,random,1250
197,193,38,43,76,9,16,random,1250
234,135,5,33,54,18,3,random,1250
149,83,81,12,52,14,9,random,1250
249,111,96,8,48,10,11,random,1250
123,123,46,49,69,16,18,random,1250
136,232,32,32,21,17,19,random,1250
245,138,33,39,86,13,4,random,1250
179,19,7,30,40,17,3,random,1250
7,73,7,13,31,11,8,random,1250
193,186,61,39,59,3,12,random,1250
184,156,9,30,19,3,15,random,1250
2,169,43,42,86,5,1,random,1250
83,65,84,10,53,4,5,random,1250
209,174,32,19,10,12,19,random,1250
198,130,31,47,52,20,5,random,1250
248,193,77,1,35,9,6,random,1250
12,11,45,27,30,7,18,random,1250
16,138,15,27,100,4,17,random,1250
23,114,62,15,5,6,15,random,1250
3,32,38,19,65,16,19,random,1250
161,123,37,16,15,9,8,random,1250
177,166,58,16,45,19,15,random,1250
227,53,100,41,32,13,19,random,1250
53,53,38,8,85,19,14,random,1250
172,249,38,40,13,4,5,random,1250
19,37,15,44,22,11,0,random,1250
170,5,97,12,40,2,1,random,1250
46,117,88,0,22,18,5,random,1250
138,49,77,9,19,8,12,random,1250
80,149,69,29,44,13,9,random,1250
167,65,3,14,95,7,6,random,1250
32,248,34,40,1,8,9,random,1250
122,87,53,37,9,5,1,random,1250
243,46,76,40,72,17,19,random,1250
115,150,72,2,46,19,20,random,1250
248,206,95,20,36,2,10,random,1250
202,215,15,36,79,18,20,random,1250
146,107,74,25,57,1,8,random,1250
242,48,53,47,45,4,9,random,1250
161,245,46,40,73,15,4,random,1250
188,9,90,10,76,8,13,random,1250
101,16,88,48,66,1,7,random,1250
110,5,90,29,40,14,18,random,1250
210,222,57,48,64,20,12,random,1250
188,52,82,46,92,8,10,random,1250
85,82,86,45,68,19,16,random,1250
163,109,25,17,50,12,6,random,1250
165,199,57,49,69,1,3,random,1250
90,13,93,35,31,4,14,random,1250
21,152,76,45,33,19,13,random,1250
66,0,21,20,5,13,3,random,1250
60,152,32,48,94,14,5,random,1250
37,223,66,48,19,11,1,random,1250
1,147,7,38,69,10,7,random,1250
239,160,46,29,37,12,6,random,1250
97,109,47,20,22,19,6,random,1250
216,138,86,27,68,2,0,random,1250
20,60,80,26,31,20,6,random,1250
209,119,58,46,92,4,11,random,1250
105,208,53,20,16,15,10,random,1250
136,129,27,26,66,17,9,random,1250
166,212,26,37,65,7,12,random,1250
157,58,59,32,31,12,11,random,1250
214,143,67,31,34,9,1,random,1250
35,227,73,47,17,18,6,random,1250
3,14,66,8,0,18,11,random,1250
56,152,95,43,33,9,7,random,1250
36,100,61,6,50,18,16,random,1250
172,17,76,16,78,3,4,random,1250
135,106,64,11,10,1,16,random,1250
213,65,18,31,26,5,2,random,1250
2,18,62,2,82,17,6,random,1250
185,143,88,13,69,18,1,random,1250
56,26,59,32,19,16,9,random,1250
54,11,84,16,27,17,20,random,1250
25,222,51,17,31,9,4,random,1250
49,171,99,48,48,18,12,random,1250
223,197,62,19,19,10,10,random,1250
116,58,70,45,53,14,17,random,1250
43,50,27,8,45,15,7,random,1250
102,32,44,47,47,13,0,random,1250
101,161,46,10,50,16,3,random,1250
57,145,43,30,78,1,9,random,1250
121,127,61,9,62,5,0,random,1250
45,156,36,34,50,8,19,random,1250
140,107,92,35,41,7,10,random,1250
180,49,88,20,58,4,7,random,1250
91,48,44,30,38,19,6,random,1250
44,121,29,7,55,14,9,random,1250
186,172,66,6,78,5,13,random,1250
224,98,61,21,24,19,0,random,1250
228,83,69,7,2,7,10,random,1250
221,155,9,38,97,7,4,random,1250
25,231,52,3,46,15,20,random,1250
141,9,51,2,18,8,20,random,1250
51,166,84,36,61,18,18,random,1250
7,83,73,31,30,6,16,random,1250
154,40,58,8,1,11,18,random,1250
79,240,11,27,4,17,9,random,1250
160,175,42,13,42,12,5,random,1250
42,217,86,48,6,11,1,random,1250
100,41,21,48,41,17,1,random,1250
159,198,25,12,53,4,9,random,1250
220,166,67,35,8,13,13,random,1250
160,83,53,28,37,3,11,random,1250
80,78,56,33,19,15,4,random,1250
72,35,3,14,29,18,10,random,1250
226,169,23,40,63,5,4,random,1250
155,158,16,45,97,2,4,random,1250
19,52,42,12,19,13,0,random,1250
5,209,70,30,30,2,12,random,1250
122,20,8,39,43,18,9,random,1250
103,191,0,11,8,16,13,random,1250
156,193,83,2,71,5,7,random,1250
242,127,68,42,96,19,19,random,1250
248,0,54,34,36,6,18,random,1250
178,120,10,9,8,16,2,random,1250
192,143,37,12,48,5,16,random,1250
171,160,91,46,17,19,14,random,1250
138,89,27,29,44,12,5,random,1250
43,25,49,32,49,11,16,random,1250
17,201,27,38,88,3,8,random,1250
140,121,41,20,43,13,4,random,1250
112,123,67,18,20,10,6,random,1250
197,100,4,45,61,7,12,random,1250
79,6,31,6,81,2,3,random,1250
155,102,16,45,71,6,14,random,1250
127,53,32,28,100,12,12,random,1250
111,217,96,39,11,6,18,random,1250
122,195,18,10,0,2,7,random,1250
81,93,96,39,97,6,15,random,1250
81,58,65,34,100,9,1,random,1250
21,148,19,46,89,2,18,random,1250
31,197,57,46,100,16,18,random,1250
13,115,79,27,45,7,8,random,1250
184,217,64,25,27,7,13,random,1250
65,12,21,24,85,3,0,random,1250
189,32,72,42,97,8,4,random,1250
166,149,16,39,95,17,5,random,1250
139,194,3,4,55,12,1,random,1250
33,180,84,13,95,9,14,random,1250
126,86,67,40,71,11,15,random,1250
51,247,96,42,78,6,1,random,1250
106,157,100,43,90,13,6,random,1250
116,84,13,3,73,6,14,random,1250
108,247,45,5,95,3,19,random,1250
34,161,45,24,84,12,1,random,1250
157,97,42,5,93,1,6,random,1250
192,143,98,36,45,10,1,random,1250
22,68,98,23,46,19,3,random,1250
5,60,36,34,20,6,9,random,1250
50,225,57,47,96,10,14,random,1250
184,16,24,23,93,15,20,random,1250
61,83,57,18,73,4,14,random,1250
239,9,32,27,22,3,18,random,1250
144,46,96,49,39,19,20,random,1250
246,223,48,15,30,20,2,random,1250
18,52,81,47,59,1,0,random,1250
74,5,8,44,80,18,9,random,1250
83,250,28,7,43,15,3,random,1250
241,72,90,45,20,1,20,random,1250
125,162,48,22,42,3,0,random,1250
6,222,8,9,25,12,4,random,1250
5,210,95,49,30,12,6,random,1250
152,182,63,50,100,10,20,random,1250
249,48,98,19,63,11,4,random,1250
77,153,72,27,91,2,11,random,1250
123,140,96,46,17,9,20,random,1250
130,156,67,4,65,8,14,random,1250
25,144,73,0,3,4,9,random,1250
181,87,36,35,83,6,0,random,1250
116,148,87,16,30,7,10,random,1250
170,207,12,4,33,19,0,random,1250
196,88,44,2,24,19,16,random,1250
224,88,91,49,52,11,2,random,1250
153,103,89,32,93,11,7,random,1250
108,181,72,7,53,19,6,random,1250
34,77,74,36,26,18,3,random,1250
209,60,57,29,97,1,5,random,1250
10,55,57,14,10,7,14,random,1250
210,61,46,11,36,18,10,random,1250
125,224,58,39,40,7,7,random,1250
167,151,27,29,78,8,4,random,1250
167,136,100,44,29,7,6,random,1250
244,210,16,36,21,13,2,random,1250
181,165,28,10,82,20,6,random,1250
152,23,93,13,78,1,16,random,1250
207,181,38,17,2,2,8,random,1250
59,67,57,40,95,16,10,random,1250
69,151,42,30,12,20,19,random,1250
22,166,32,13,43,3,7,random,1250
173,235,40,26,96,7,1,random,1250
23,39,85,11,85,12,15,random,1250
24,142,91,35,84,16,11,random,1250
189,65,51,21,89,6,18,random,1250
60,212,4,6,85,18,9,random,1250
237,219,14,30,86,4,4,random,1250
142,103,5,11,19,7,9,random,1250
5,50,6,36,61,6,9,random,1250
163,28,37,6,96,6,10,random,1250
2,185,4,30,89,9,9,random,1250
96,3,88,27,67,14,12,random,1250
128,146,61,15,69,4,16,random,1250
61,213,38,5,99,2,13,random,1250
125,77,10,6,42,4,7,random,1250
239,106,23,12,98,9,5,random,1250
236,61,58,44,73,18,0,random,1250
8,77,40,0,9,17,5,random,1250
204,13,45,20,24,4,17,random,1250
112,229,81,17,88,13,11,random,1250
72,154,61,49,89,6,11,random,1250
210,248,63,22,74,3,16,random,1250
59,42,94,27,39,7,13,random,1250
41,110,72,48,81,16,6,random,1250
36,42,11,31,95,13,14,random,1250
107,71,7,32,52,7,5,random,1250
60,20,26,2,18,20,10,random,1250
58,130,71,28,55,14,1,random,1250
222,188,90,49,99,17,1,random,1250
94,129,9,10,46,1,18,random,1250
73,220,29,34,61,16,13,random,1250
108,134,76,8,8,20,18,random,1250
189,37,76,41,57,11,14,random,1250
103,69,7,12,69,16,1,random,1250
6,79,81,21,87,18,4,random,1250
241,163,26,13,30,6,10,random,1250
102,78,71,29,87,17,17,random,1250
126,131,60,25,1,8,13,random,1250
15,96,0,10,26,17,17,random,1250
213,138,90,6,32,9,5,random,1250
170,52,57,45,32,14,18,random,1250
117,96,27,34,4,10,8,random,1250
226,157,55,11,31,13,5,random,1250
206,7,80,40,36,4,0,random,1250
12,90,98,2,28,15,20,random,1250
204,231,96,26,77,11,13,random,1250
52,35,91,5,35,9,7,random,1250
220,150,18,2,91,5,1,random,1250
103,80,76,22,86,10,8,random,1250
183,188,41,8,11,12,1,random,1250
111,248,32,17,83,1,11,random,1250
176,3,0,7,60,20,12,random,1250
75,145,83,32,81,11,17,random,1250
207,150,81,3,60,12,2,random,1250
30,58,74,7,74,15,7,random,1250
143,248,15,0,28,15,16,random,1250
177,51,50,10,50,5,9,random,1250
70,101,14,2,61,2,1,random,1250
245,195,72,29,53,4,15,random,1250
132,144,42,29,56,12,4,random,1250
92,60,86,33,11,8,8,random,1250
101,169,23,2,3,13,15,random,1250
93,106,81,13,39,17,20,random,1250
54,193,81,38,100,17,0,random,1250
104,14,99,49,76,10,18,random,1250
76,0,38,32,15,6,15,random,1250
102,136,60,11,22,19,16,random,1250
82,198,85,17,10,12,16,random,1250
33,117,85,6,50,14,19,random,1250
162,235,20,49,25,15,9,random,1250
62,97,95,5,5,18,2,random,1250
221,95,14,46,57,4,7,random,1250
69,60,18,44,93,19,7,random,1250
232,21,56,20,92,14,6,random,1250
181,210,88,31,33,13,5,random,1250
57,195,43,25,73,15,14,random,1250
35,126,53,6,69,13,10,random,1250
202,135,99,40,51,19,12,random,1250
249,223,83,24,6,7,20,random,1250
189,136,16,10,5,10,6,random,1250
201,134,58,2,56,18,3,random,1250
122,230,25,23,28,20,13,random,1250
153,46,56,40,53,14,18,random,1250
46,236,75,21,15,14,17,random,1250
173,213,65,5,44,5,18,random,1250
20,105,64,7,92,10,10,random,1250
243,71,97,38,64,5,5,random,1250
73,219,72,42,39,11,6,random,1250
173,74,5,26,100,7,15,random,1250
136,208,14,33,15,6,7,random,1250
15,123,19,48,74,8,5,random,1250
240,162,83,25,52,12,3,random,1250
203,212,96,19,60,5,7,random,1250
30,178,79,0,69,1,13,random,1250
87,144,82,22,7,5,15,random,1250
65,183,70,21,26,19,15,random,1250
74,162,59,39,51,17,19,random,1250
142,95,2,49,84,2,9,random,1250
15,51,26,15,22,7,0,random,1250
197,141,92,7,48,15,14,random,1250
37,16,49,32,13,8,9,random,1250
71,12,9,34,60,10,5,random,1250
247,236,2,11,1,17,18,random,1250
57,120,39,26,20,4,8,random,1250
133,176,80,21,67,12,14,random,1250
167,182,13,15,81,8,11,random,1250
63,82,84,10,28,9,17,random,1250
114,106,57,39,41,4,0,random,1250
193,153,60,36,94,6,13,random,1250
177,112,19,48,100,9,19,random,1250
148,23,40,4,84,16,16,random,1250
137,79,68,44,10,8,10,random,1250
98,106,59,48,36,20,14,random,1250
104,173,21,39,0,1,10,random,1250
47,213,17,45,39,19,9,random,1250
23,239,9,23,96,6,8,random,1250
146,162,34,43,0,5,10,random,1250
153,58,92,43,46,5,10,random,1250
84,63,30,10,70,13,7,random,1250
132,219,20,34,26,12,8,random,1250
101,165,9,23,16,20,0,random,1250
86,132,25,1,18,15,20,random,1250
213,157,34,28,77,19,3,random,1250
205,89,33,23,93,17,16,random,1250
97,184,13,33,39,8,16,random,1250
220,29,28,19,99,4,5,random,1250
130,147,98,36,65,19,11,random,1250
137,222,2,43,51,3,3,random,1250
96,208,25,2,87,1,7,random,1250
76,127,46,44,26,5,12,random,1250
221,52,65,18,39,16,1,random,1250
59,135,40,48,22,13,1,random,1250
180,72,53,10,56,10,14,random,1250
100,162,3,39,34,5,17,random,1250
141,9,81,29,84,14,9,random,1250
147,112,56,6,66,1,2,random,1250
186,80,83,29,75,4,20,random,1250
62,163,72,31,73,14,14,random,1250
60,161,50,6,22,3,14,random,1250
79,226,53,35,18,10,3,random,1250
3,67,33,48,83,18,13,random,1250
125,87,8,5,17,6,2,random,1250
192,141,92,12,38,8,7,random,1250
147,0,5,13,96,3,20,random,1250
84,205,97,22,90,2,12,random,1250
7,227,21,41,9,6,20,random,1250
211,96,53,21,19,9,5,random,1250
4,222,0,20,78,20,10,random,1250
164,232,53,9,36,12,11,random,1250
131,178,61,6,24,4,16,random,1250
133,35,11,42,90,9,18,random,1250
1,15,32,12,55,13,20,random,1250
139,0,63,32,21,18,4,random,1250
128,218,60,16,79,16,7,random,1250
56,245,96,44,28,13,12,random,1250
73,176,3,44,23,5,19,random,1250
239,191,68,36,53,8,18,random,1250
109,144,14,34,79,16,1,random,1250
35,41,39,9,72,17,20,random,1250
84,228,12,20,74,12,6,random,1250
33,169,65,28,57,14,2,random,1250
178,238,87,48,32,15,6,random,1250
89,72,20,7,18,17,11,random,1250
244,149,10,15,12,1,11,random,1250
245,181,22,9,84,1,3,random,1250
64,3,25,22,56,4,12,random,1250
117,32,20,26,100,10,5,random,1250
42,63,18,4,26,17,12,random,1250
163,193,32,23,11,14,12,random,1250
234,222,97,27,92,15,4,random,1250
111,210,11,4,35,1,19,random,1250
241,157,11,19,72,11,19,random,1250
242,36,58,13,74,3,4,random,1250
99,10,66,18,54,14,1,random,1250
241,93,70,48,83,18,10,random,1250
30,172,27,24,47,13,4,random,1250
139,10,25,25,56,10,1,random,1250
170,85,42,22,60,7,4,random,1250
80,2,62,20,42,16,2,random,1250
36,187,14,28,21,17,3,random,1250
137,106,100,21,11,9,2,random,1250
95,102,55,33,9,1,19,random,1250
26,54,12,50,68,14,20,random,1250
12,69,65,50,70,4,10,random,1250
55,97,25,28,66,17,15,random,1250
55,237,23,29,29,7,11,random,1250
160,197,58,45,52,1,10,random,1250
235,47,81,50,40,4,4,random,1250
97,243,76,0,66,2,7,random,1250
90,73,40,36,80,15,6,random,1250
99,149,32,25,85,10,18,random,1250
63,129,83,46,96,7,17,random,1250
31,159,31,35,49,5,14,random,1250
219,1,11,34,58,15,6,random,1250
46,236,6,37,17,3,5,random,1250
216,180,68,47,77,9,9,random,1250
117,139,1,42,5,12,20,random,1250
67,105,29,48,42,2,11,random,1250
156,161,99,28,45,20,6,random,1250
98,196,53,31,93,18,7,random,1250
147,226,13,2,13,1,10,random,1250
49,94,52,0,23,1,1,random,1250
68,189,95,6,50,3,18,random,1250
22,70,33,21,16,9,12,random,1250
182,180,60,39,48,4,9,random,1250
238,5,58,6,53,12,18,random,1250
193,6,99,42,70,6,17,random,1250
120,34,51,33,48,11,18,random,1250
134,204,62,11,57,15,12,random,1250
122,199,8,49,22,9,9,random,1250
187,58,98,11,15,9,0,random,1250
12,109,100,25,27,8,1,random,1250
143,223,2,47,33,3,13,random,1250
235,117,26,50,27,20,20,random,1250
93,181,57,19,3,3,4,random,1250
41,178,96,8,80,5,18,random,1250
66,6,87,49,45,20,18,random,1250
11,53,2,30,88,11,19,random,1250
241,21,55,34,61,1,17,random,1250
12,153,50,5,14,3,11,random,1250
69,184,95,36,97,7,11,random,1250
177,120,40,38,9,14,9,random,1250
88,26,49,19,69,18,14,random,1250
116,62,48,48,61,6,0,random,1250
40,237,16,41,66,19,12,random,1250
29,155,24,40,37,4,14,random,1250
9,197,9,44,90,13,16,random,1250
217,60,17,28,35,14,11,random,1250
101,82,74,26,71,11,16,random,1250
57,124,27,39,73,14,5,random,1250
122,34,59,23,61,17,0,random,1250
27,106,30,25,98,7,16,random,1250
144,180,36,33,94,18,16,random,1250
4,126,79,14,3,7,11,random,1250
250,124,38,24,44,11,0,random,1250
48,41,78,0,80,20,2,random,1250
34,222,80,4,19,5,1,random,1250
53,34,24,25,69,9,11,random,1250
52,77,40,16,4,11,3,random,1250
34,232,65,14,68,10,3,random,1250
249,83,70,3,31,7,1,random,1250
89,183,46,0,0,15,0,random,1250
209,179,46,0,81,12,14,random,1250
199,114,68,41,77,1,0,random,1250
98,107,83,27,57,15,13,random,1250
61,87,14,44,64,20,19,random,1250
164,14,18,48,76,16,12,random,1250
181,218,94,19,88,18,0,random,1250
137,185,12,7,8,7,19,random,1250
47,54,71,8,38,19,18,random,1250
118,101,90,48,13,18,9,random,1250
18,192,68,30,68,1,7,random,1250
82,229,68,15,13,12,11,random,1250
80,165,30,20,21,9,0,random,1250
92,192,32,13,31,1,14,random,1250
150,73,32,41,23,6,6,random,1250
72,101,79,1,69,2,19,random,1250
99,46,80,6,32,15,19,random,1250
244,130,42,0,56,2,15,random,1250
106,120,24,4,11,12,11,random,1250
97,134,65,36,24,14,6,random,1250
186,219,15,34,22,5,9,random,1250
166,237,5,3,70,15,4,random,1250
154,199,91,9,11,16,0,random,1250
113,206,31,12,80,17,8,random,1250
217,209,72,49,9,4,19,random,1250
14,55,82,14,38,1,1,random,1250
103,197,27,24,56,20,10,random,1250
162,187,89,48,53,11,3,random,1250
187,228,96,33,2,7,17,random,1250
208,177,70,23,75,6,9,random,1250
200,158,8,1,17,11,20,random,1250
33,129,51,31,39,17,1,random,1250
57,139,23,37,81,5,0,random,1250
248,144,79,44,65,1,5,random,1250
89,62,20,47,96,19,18,random,1250
227,208,9,49,24,15,14,random,1250
66,129,28,4,72,11,12,random,1250
27,62,94,5,2,9,2,random,1250
20,110,40,0,58,4,16,random,1250
232,193,32,2,8,4,5,random,1250
79,52,52,19,42,13,7,random,1250
61,204,21,0,18,10,6,random,1250
5,100,93,23,18,9,11,random,1250
177,147,41,9,35,5,11,random,1250
206,148,21,24,13,7,19,random,1250
79,75,88,29,13,7,14,random,1250
167,162,100,49,58,19,19,random,1250
215,20,65,28,37,12,0,random,1250
137,70,20,26,91,20,9,random,1250
105,52,34,11,66,18,8,random,1250
220,197,79,50,5,1,8,random,1250
142,48,67,35,97,9,4,random,1250
35,125,53,26,68,11,7,random,1250
128,150,38,15,96,1,18,random,1250
96,106,81,8,83,9,6,random,1250
244,237,55,1,96,2,0,random,1250
49,166,95,27,38,17,15,random,1250
172,112,8,14,49,9,10,random,1250
121,235,44,44,73,10,4,random,1250
34,154,22,33,74,6,2,random,1250
241,105,47,18,92,19,11,random,1250
67,56,52,47,75,3,5,random,1250
139,25,18,24,51,5,20,random,1250
232,248,32,11,0,18,5,random,1250
221,230,24,3,91,9,1,random,1250
22,119,36,46,38,12,6,random,1250
121,181,74,34,57,10,20,random,1250
28,19,27,2,53,6,10,random,1250
20,239,80,24,23,18,11,random,1250
247,163,72,40,90,17,5,random,1250
234,51,1,44,34,20,4,random,1250
229,124,92,0,54,5,11,random,1250
226,83,41,49,26,16,13,random,1250
43,194,31,3,63,3,11,random,1250
201,238,42,34,38,4,13,random,1250
102,63,74,17,63,13,3,random,1250
157,21,64,20,82,8,18,random,1250
196,134,77,8,1,5,2,random,1250
147,171,98,37,11,11,12,random,1250
217,134,19,29,22,14,18,random,1250
86,233,73,12,16,1,12,random,1250
78,190,5,7,14,18,13,random,1250
126,121,53,19,68,15,16,random,1250
153,68,40,16,21,5,14,random,1250
87,47,71,1,54,18,18,random,1250
7,78,16,27,92,12,7,random,1250
48,63,24,22,24,5,19,random,1250
125,189,56,42,75,3,16,random,1250
24,53,32,46,46,3,11,random,1250
228,249,22,37,10,14,1,random,1250
61,228,96,9,47,15,17,random,1250
22,219,31,30,77,10,13,random,1250
34,67,90,31,79,9,19,random,1250
33,20,21,22,22,5,1,random,1250
75,132,42,15,84,1,9,random,1250
