initial_number_sheep,initial_number_wolves,grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce
200,146,75,36,75,6,10
110,15,65,47,48,1,18
116,19,82,49,24,1,13
4,154,20,47,45,19,18
87,113,66,41,85,8,11
26,117,54,18,36,15,2
213,32,43,28,39,20,9
31,14,83,16,69,20,10
16,10,95,22,55,7,2
28,34,77,43,62,18,5
54,92,81,43,47,9,13
86,124,30,9,51,15,11
36,241,15,50,43,4,7
183,67,82,41,79,13,9
210,6,49,16,53,20,10
60,208,11,25,40,2,11
122,161,79,48,56,19,0
208,65,17,11,25,11,9
121,14,91,40,41,1,20
107,10,93,37,27,9,6
157,32,76,17,70,8,12
176,242,25,46,7,10,2
16,149,49,47,75,13,5
228,1,25,42,12,14,20
74,0,17,17,91,4,5
36,241,21,35,1,13,20
91,240,23,29,58,10,10
24,96,76,22,5,17,9
198,156,70,37,63,2,6
10,160,31,16,24,16,3
11,207,17,41,25,16,4
241,200,8,9,30,1,3
88,215,84,9,76,11,18
178,173,71,40,31,3,5
99,84,7,46,34,4,6
154,152,33,48,49,10,12
74,4,24,42,98,7,13
65,225,2,11,99,7,19
164,111,47,13,49,20,11
226,111,63,30,21,12,12
163,137,39,5,96,17,3
147,97,22,47,43,10,5
58,39,10,18,38,17,20
210,63,58,6,71,15,13
168,105,21,26,8,12,7
85,28,13,24,51,6,0
100,149,22,12,75,19,0
96,188,85,37,100,2,7
109,128,72,28,47,15,4
163,200,44,24,41,19,0
211,86,65,43,84,11,4
250,112,64,10,27,5,11
31,29,71,5,53,10,12
150,198,98,15,49,20,0
182,130,94,45,4,8,19
70,107,96,17,53,4,3
77,233,85,49,10,12,17
201,128,81,9,83,17,14
241,69,6,31,14,11,3
180,93,2,27,55,18,1
110,192,10,19,85,12,14
81,108,55,40,0,15,12
119,61,9,28,84,15,3
28,61,44,41,86,6,16
143,106,22,2,97,14,13
233,162,66,48,80,7,15
53,97,40,6,18,10,4
218,28,30,14,89,6,18
192,116,53,45,47,5,2
2,158,87,19,83,13,17
28,87,65,16,96,9,6
248,132,11,7,14,14,9
129,21,32,24,33,12,17
135,35,21,40,27,12,4
8,127,86,36,41,17,2
100,227,89,13,74,5,4
131,64,53,29,93,13,5
205,35,21,37,16,10,11
90,67,3,40,21,9,7
59,54,85,6,80,10,20
194,212,85,33,34,9,9
93,40,4,20,59,12,6
90,159,30,21,12,17,6
178,148,91,42,61,4,11
131,4,18,33,28,19,14
196,59,78,39,66,6,12
191,161,100,23,2,6,16
160,157,32,36,79,10,12
146,93,18,1,72,8,11
142,63,70,43,37,15,19
249,203,96,49,65,15,6
202,207,73,34,59,7,7
166,194,37,35,5,10,12
30,150,63,9,78,2,4
38,91,74,28,9,16,16
1,241,42,34,43,2,8
75,134,42,40,86,17,0
68,211,71,25,36,8,17
27,95,77,11,61,13,8
130,150,95,45,75,15,0
236,198,16,45,36,15,7
198,122,9,16,12,11,14
10,16,99,49,76,18,18
91,177,55,19,97,13,11
147,37,39,2,59,19,10
76,41,87,0,95,16,14
136,140,69,44,44,16,0
184,248,23,22,84,20,7
72,147,81,50,66,6,18
17,220,1,48,42,17,8
75,209,40,49,71,13,7
150,187,38,36,35,2,16
84,158,99,10,20,1,4
214,85,36,2,3,7,5
61,63,59,42,56,16,9
241,130,1,10,81,2,12
233,57,33,16,96,10,17
25,83,5,5,42,2,2
135,73,100,4,82,14,11
206,131,80,20,14,13,17
37,222,10,42,30,5,5
126,168,57,45,5,5,11
154,119,18,7,90,19,1
133,68,12,38,12,13,9
133,109,78,50,33,15,6
112,76,25,33,37,9,4
20,226,44,37,77,20,11
49,194,26,38,65,8,1
51,10,15,35,33,14,8
234,49,83,8,69,13,8
96,228,64,28,100,2,8
121,97,67,29,88,11,9
141,32,71,22,67,20,10
123,84,4,11,47,8,7
229,184,92,26,39,9,2
160,100,40,4,8,4,12
22,106,44,44,64,10,14
212,96,41,48,5,14,12
26,115,84,14,33,4,20
114,35,82,40,86,16,4
126,181,94,34,67,20,19
115,70,60,12,52,12,13
155,231,37,34,100,11,2
195,74,55,43,5,18,16
159,216,27,19,18,8,10
243,117,60,9,96,14,12
166,239,21,49,61,14,3
111,49,32,27,26,18,7
216,120,33,31,16,14,9
153,16,11,26,6,6,17
4,40,3,31,52,9,5
220,178,35,3,59,12,7
132,233,57,14,4,2,9
54,192,86,47,27,13,7
72,239,53,45,16,19,19
66,96,79,29,46,4,4
180,205,1,44,14,8,4
216,19,50,13,39,6,3
233,172,87,23,78,8,12
179,108,5,44,48,1,7
171,34,26,18,64,9,15
144,217,65,31,83,5,2
39,241,48,4,31,3,15
139,99,66,36,16,2,8
74,72,95,15,66,18,13
212,213,70,23,88,18,13
194,122,25,42,81,17,4
164,137,8,3,87,16,4
178,38,33,47,22,16,11
230,220,62,2,19,18,3
186,113,30,3,64,6,1
235,240,15,48,36,10,19
152,51,36,14,9,14,19
82,219,84,45,64,12,11
168,163,16,22,74,7,1
172,40,92,4,89,2,15
159,35,37,39,0,7,6
54,28,10,37,8,9,11
37,199,91,32,80,3,2
138,191,30,35,46,6,13
21,61,70,9,48,4,1
64,107,98,25,87,1,14
197,108,40,48,13,17,14
236,11,47,2,68,20,13
201,3,60,46,38,17,7
22,130,60,20,6,16,8
55,45,5,39,54,4,1
241,85,95,41,86,4,14
214,112,69,42,73,2,10
35,58,88,36,76,15,7
89,138,43,27,92,11,5
166,39,7,22,23,7,19
226,7,16,30,63,6,10
244,47,91,36,26,4,14
86,33,5,47,84,4,8
227,102,3,3,4,15,18
174,0,89,1,7,10,9
41,203,7,36,71,12,19
76,205,83,26,78,11,13
189,181,28,50,12,10,14
53,236,70,45,35,1,4
101,247,42,39,3,20,11
249,186,97,11,52,13,14
99,77,88,37,98,19,19
96,87,100,16,63,18,20
178,178,57,21,51,9,4
149,167,18,14,71,11,4
206,129,31,6,99,12,10
31,210,52,3,87,6,1
189,115,10,12,90,18,15
53,92,91,4,45,10,7
66,59,86,11,22,13,13
193,210,98,47,24,19,6
208,227,82,3,41,1,3
167,90,74,12,29,10,9
121,172,72,37,43,17,3
237,204,47,38,92,9,5
18,238,12,40,3,11,20
242,212,94,5,58,2,18
188,72,38,24,23,19,11
18,78,39,27,70,6,9
172,226,42,34,72,4,9
100,65,55,0,94,20,3
204,30,36,35,27,14,12
113,234,23,6,66,8,16
74,124,22,9,65,14,2
30,6,54,36,27,9,7
112,3,25,26,12,4,10
28,70,13,45,25,11,2
104,23,30,35,76,17,0
64,0,41,16,17,4,12
223,239,64,25,6,17,15
5,199,14,32,37,3,4
88,210,88,10,38,19,8
152,93,10,2,53,6,5
17,69,40,38,75,8,0
107,184,40,33,98,2,3
222,49,81,14,63,14,8
65,85,1,2,75,11,5
88,4,73,32,24,20,18
42,24,23,11,48,5,15
149,111,50,42,41,12,20
237,120,7,32,8,16,0
4,43,98,29,7,1,4
13,50,61,9,37,17,20
95,17,81,13,83,17,18
0,74,9,34,42,5,8
234,248,25,14,84,1,7
53,134,77,4,57,17,1
74,62,19,1,1,15,20
238,159,35,25,41,12,2
180,140,50,38,79,8,14
177,70,74,41,54,3,2
49,86,65,16,83,14,17
142,158,89,24,29,5,19
225,147,41,8,56,15,12
162,47,59,3,1,16,3
9,231,1,46,88,20,17
185,74,78,0,59,7,7
238,94,1,43,81,19,12
225,177,88,12,91,2,19
123,65,42,46,3,12,3
98,47,18,3,82,15,15
229,200,29,3,43,4,20
229,237,1,3,39,16,5
177,134,20,12,60,15,18
40,116,35,19,14,20,14
236,145,90,15,28,16,8
13,148,94,50,52,4,12
242,233,99,8,29,16,19
195,62,95,18,32,18,5
152,119,88,46,38,6,12
89,109,17,33,75,6,5
141,119,29,2,53,16,15
53,96,31,24,77,7,12
190,96,49,34,28,10,15
135,230,82,6,89,5,7
127,60,34,47,84,3,2
236,180,48,33,14,5,15
102,66,70,49,30,18,20
84,78,96,21,20,18,17
229,244,26,21,30,9,19
123,94,22,50,31,8,5
38,53,51,3,86,6,18
4,231,98,16,5,18,12
169,76,95,19,49,6,8
43,36,62,1,99,12,14
25,122,47,32,40,4,20
227,29,74,9,84,8,3
227,68,17,20,40,5,7
227,42,90,9,83,1,18
46,65,44,14,81,14,1
142,66,60,7,16,18,3
13,111,48,4,98,11,2
188,99,7,29,32,14,4
223,134,57,40,3,2,0
76,234,52,35,77,1,12
189,109,48,42,22,9,14
58,154,89,22,0,9,16
68,232,5,24,6,16,8
88,105,86,13,42,6,13
148,26,4,28,79,20,9
38,49,75,25,18,6,19
100,90,76,19,64,8,10
239,67,60,29,74,2,20
32,2,67,40,94,16,8
113,205,45,14,77,2,19
250,58,42,22,40,12,18
132,7,83,7,73,12,19
170,189,19,43,23,4,18
220,13,80,31,85,16,14
101,219,30,17,86,1,4
100,227,83,14,10,10,13
68,223,61,15,18,5,2
92,52,11,46,76,17,7
197,229,6,26,7,11,14
193,114,23,23,12,2,20
223,100,89,14,84,8,7
83,66,90,42,92,17,13
169,245,23,4,57,10,11
155,148,90,13,57,3,1
16,215,2,23,9,16,3
106,198,42,33,32,8,8
226,127,55,0,52,9,12
212,6,48,42,70,2,1
149,248,88,37,0,2,8
212,211,54,5,18,9,3
95,17,12,44,70,12,15
50,68,12,18,38,9,11
131,53,36,30,36,4,10
67,103,96,31,2,13,15
180,25,2,29,17,4,11
30,202,2,21,81,13,20
50,50,13,17,98,14,20
91,3,34,27,38,4,5
222,96,43,21,10,17,0
110,172,19,13,48,2,7
222,207,26,26,90,19,16
160,38,30,24,85,2,0
224,81,28,2,68,14,16
166,76,65,25,36,9,2
172,114,100,40,25,10,10
134,28,91,40,46,4,10
112,184,72,11,57,16,18
172,131,50,40,41,20,0
165,48,75,19,13,20,13
183,146,62,47,46,9,3
42,93,28,0,49,12,9
213,193,90,47,54,13,11
160,60,84,7,39,17,19
100,62,75,15,73,3,7
25,63,58,35,21,20,8
57,40,93,17,90,5,7
219,107,10,36,97,12,1
42,247,86,50,68,18,14
165,87,0,2,40,13,15
165,71,58,9,49,5,12
229,188,32,13,36,3,18
219,171,99,30,55,13,9
112,1,41,9,14,19,4
211,16,11,11,84,17,5
10,236,4,4,58,17,18
90,76,89,36,62,17,11
245,156,88,11,54,7,15
183,75,38,12,76,20,16
197,176,47,25,91,8,0
235,156,98,15,5,6,20
100,122,70,16,65,17,19
3,175,19,45,75,6,12
207,23,63,3,73,14,19
40,234,77,4,45,19,19
134,9,59,8,17,8,3
198,151,34,17,55,11,6
156,242,60,21,95,16,14
148,128,23,43,12,15,2
144,13,16,17,87,17,14
76,124,19,3,22,20,13
162,38,63,39,8,10,20
129,22,27,44,39,8,9
114,83,89,9,57,13,18
168,132,29,20,46,5,10
198,200,79,13,7,7,2
93,82,43,46,53,10,9
48,115,25,48,90,20,7
105,30,70,15,69,20,6
189,112,11,40,37,8,20
34,236,79,35,100,16,15
67,105,33,5,64,15,19
243,180,67,45,6,12,20
116,229,27,43,86,4,4
221,161,74,35,45,16,8
167,177,61,31,21,8,3
18,11,42,42,94,11,1
10,44,45,41,69,5,4
76,142,14,37,29,5,5
94,177,19,27,39,3,10
212,221,28,23,56,9,5
31,11,9,37,24,19,3
143,247,100,24,52,17,19
123,117,98,29,97,1,20
186,93,37,44,2,7,2
243,146,77,21,73,18,2
174,195,76,2,96,3,9
17,160,94,23,81,9,4
248,68,24,0,67,20,6
89,37,87,9,0,1,8
41,36,34,21,86,13,2
9,26,38,28,79,16,0
21,65,57,7,72,19,5
35,56,34,1,81,6,4
19,120,29,23,15,9,14
124,24,68,26,65,16,20
5,168,9,19,31,14,6
167,17,1,2,34,14,13
104,163,77,20,13,18,9
184,80,31,0,67,18,20
227,149,8,25,66,1,5
49,166,0,20,69,17,19
118,2,39,11,21,20,12
205,224,37,45,22,8,1
5,127,5,50,56,3,13
205,92,30,37,98,14,8
211,221,1,40,97,5,20
69,118,19,36,99,3,5
10,184,60,45,70,13,0
60,121,100,14,19,19,11
189,56,38,45,48,5,19
225,147,41,35,0,1,18
250,203,72,5,81,6,3
103,30,26,19,29,9,12
43,46,44,26,65,3,9
46,224,17,18,26,19,15
167,217,3,34,65,11,12
236,153,87,11,11,11,16
64,141,67,31,75,15,11
152,80,38,31,23,16,2
159,104,93,37,33,5,15
117,54,88,16,21,10,12
71,198,85,17,28,20,18
178,8,34,13,73,5,2
19,131,35,32,53,17,8
20,2,78,41,30,3,9
232,125,75,3,9,5,4
109,155,56,17,57,7,11
25,147,93,18,3,6,5
40,88,70,47,33,10,3
191,29,58,4,78,3,3
239,160,41,48,33,18,14
226,190,3,45,39,19,15
90,101,67,26,92,10,3
186,54,12,47,49,11,8
139,241,44,20,7,20,9
20,58,42,47,91,12,10
71,64,44,9,52,20,1
151,112,79,10,32,5,17
140,83,78,39,45,5,1
95,94,39,16,40,3,18
59,88,93,1,9,2,11
66,132,7,49,12,9,18
99,92,68,12,62,3,19
124,238,70,4,30,8,4
123,141,88,49,25,15,16
81,129,48,1,56,13,1
75,209,84,18,68,6,18
121,168,81,29,30,13,12
139,21,39,49,100,5,13
145,211,76,27,42,9,19
41,183,84,9,2,3,3
134,90,51,36,30,11,0
246,129,3,15,90,20,19
67,153,70,10,63,6,16
17,84,17,24,80,13,1
51,147,95,7,56,8,2
176,183,35,40,68,8,6
46,79,44,41,7,11,6
114,172,52,10,35,6,15
106,54,18,34,83,14,15
198,118,1,21,1,17,5
224,9,33,24,71,16,1
89,125,0,6,33,13,9
139,101,26,29,83,13,15
200,158,33,35,46,16,11
195,238,27,36,33,17,13
246,174,74,10,79,12,5
48,235,19,45,2,20,0
206,192,51,50,74,14,1
10,218,11,44,31,11,15
183,245,1,27,100,10,4
57,155,93,13,41,19,15
207,22,58,24,71,10,4
236,132,13,11,10,7,19
150,104,96,21,52,9,1
181,115,26,5,3,19,3
91,233,98,29,75,18,1
43,230,2,10,7,18,13
105,186,55,26,84,20,0
225,223,7,13,55,17,4
236,52,41,27,89,14,16
14,91,49,41,52,5,17
13,138,71,43,72,11,17
79,40,31,13,46,6,15
162,218,92,21,8,7,9
72,212,56,11,21,15,14
84,119,5,33,18,11,8
249,80,23,30,68,14,2
56,161,93,12,93,3,1
33,223,33,25,63,8,14
16,210,73,49,72,14,8
3,103,49,48,23,15,18
51,21,34,46,10,3,8
198,73,62,32,47,16,14
243,154,72,46,67,16,3
228,174,22,46,46,2,8
113,219,97,36,41,3,12
67,249,15,5,53,2,7
45,147,0,11,6,3,18
207,154,80,22,2,10,14
190,118,64,33,31,19,6
36,138,66,4,17,20,13
49,25,65,49,47,13,5
154,229,85,46,20,2,2
120,224,16,31,66,7,1
221,140,25,20,17,11,2
149,187,50,36,93,18,8
5,217,47,16,68,3,15
50,67,3,1,13,3,9
195,56,23,42,25,15,13
213,169,15,2,65,11,2
11,200,18,7,89,17,11
208,29,73,3,54,9,8
245,81,46,45,14,10,6
179,34,77,21,23,12,1
143,197,70,3,11,10,2
136,54,62,6,58,19,13
55,140,48,39,15,19,17
126,204,76,39,19,12,17
216,117,3,5,29,16,6
116,97,42,35,51,14,7
224,22,25,27,84,8,3
165,108,69,11,24,9,15
100,40,13,3,93,17,11
150,72,3,38,77,13,0
107,58,67,16,85,3,1
79,190,66,50,74,11,14
244,14,48,6,9,5,0
139,37,99,49,87,10,1
247,220,62,16,31,7,6
144,87,25,13,61,1,19
129,165,100,21,46,15,19
204,47,80,21,69,8,1
88,81,48,33,91,17,16
10,232,4,3,66,1,4
205,151,9,12,100,11,20
98,156,14,38,92,11,0
205,242,47,44,98,15,20
146,36,86,41,65,17,1
107,66,9,45,43,2,8
121,244,94,10,34,6,11
140,128,6,46,84,10,6
217,112,47,15,58,19,1
146,129,76,23,30,4,9
168,172,27,30,62,9,12
65,81,79,50,22,13,15
243,248,100,44,49,5,6
22,148,50,24,42,12,1
82,22,72,6,67,15,3
139,177,89,43,97,9,4
195,108,34,30,70,17,13
204,74,22,23,72,6,8
245,27,88,29,68,14,20
74,112,84,10,30,9,11
164,90,61,21,38,20,16
150,208,29,43,4,11,8
136,193,92,32,6,16,17
161,161,3,35,35,15,18
114,219,99,49,50,20,3
170,38,34,34,76,6,10
191,64,8,43,51,1,20
132,184,14,25,35,17,0
55,2,36,29,18,3,9
163,192,65,37,97,12,10
86,180,35,32,54,1,17
92,239,23,39,94,20,7
134,181,100,13,37,3,7
243,55,83,27,0,7,13
63,249,6,45,90,16,12
186,116,27,26,94,18,19
217,166,15,17,33,7,13
6,142,35,41,69,2,13
115,94,66,20,10,16,12
41,249,18,4,10,12,19
81,47,65,11,86,9,17
88,117,55,23,76,20,20
18,115,94,32,6,6,10
37,194,94,24,41,8,20
15,190,28,42,23,11,0
136,154,1,6,100,4,14
139,89,96,21,8,9,17
38,65,52,9,13,2,0
154,90,79,42,93,2,2
91,6,79,8,31,3,0
37,241,69,33,59,7,4
7,151,61,13,62,17,11
166,216,20,21,54,20,4
73,156,24,10,28,4,4
193,10,77,49,11,9,13
242,145,69,34,75,9,0
71,91,73,41,27,6,16
213,244,51,19,92,2,17
241,40,92,38,19,17,17
245,211,86,20,22,1,0
93,13,61,32,100,10,2
40,25,83,34,4,5,9
118,126,85,47,24,9,13
190,129,98,32,34,6,9
245,157,56,17,53,14,16
118,84,78,6,55,14,13
228,209,95,27,65,10,4
183,32,23,21,8,12,8
76,86,23,49,97,18,6
220,7,79,15,99,8,14
93,146,92,5,11,19,11
207,209,38,1,55,13,20
108,28,34,0,71,7,5
47,235,14,31,8,10,13
243,126,44,38,20,20,18
79,38,75,43,52,14,4
66,166,69,3,3,20,13
117,22,73,27,20,14,11
51,186,49,14,83,2,11
187,203,64,30,1,12,3
190,186,67,35,7,18,6
192,67,54,39,56,19,15
180,136,39,43,74,17,0
28,61,0,49,56,3,8
220,49,39,33,62,17,11
77,61,8,0,29,16,6
207,217,28,30,60,3,8
51,3,37,23,45,1,6
142,30,10,35,77,16,4
146,21,55,43,14,18,19
138,78,56,28,94,6,16
58,224,66,26,60,18,12
118,41,9,10,70,6,1
19,73,87,45,43,19,11
174,135,100,41,82,12,3
50,243,15,31,97,17,16
189,146,54,48,37,2,11
155,174,6,33,26,8,2
131,70,6,5,19,12,4
167,12,40,15,66,13,9
228,63,94,4,32,16,12
126,177,20,48,54,11,14
92,50,96,28,89,7,18
70,4,96,11,33,16,19
229,218,78,13,24,12,14
139,39,32,46,28,4,15
200,35,70,6,6,14,18
168,229,45,4,52,11,8
57,213,12,18,75,4,5
146,74,30,31,7,10,17
173,217,25,39,51,3,17
229,137,43,13,47,9,15
75,178,77,31,3,5,7
186,129,28,0,49,8,3
143,106,45,45,59,8,7
41,229,3,23,71,16,6
37,127,91,19,18,10,11
229,70,49,30,54,13,2
88,106,31,12,58,7,15
113,9,80,39,49,20,10
38,78,41,20,87,5,1
115,151,94,24,76,12,19
46,155,17,5,36,20,5
94,15,92,40,97,4,0
176,54,71,36,47,1,8
142,108,89,28,96,10,15
250,7,66,37,28,2,18
9,105,90,16,7,13,4
221,89,77,17,7,14,3
74,16,8,30,0,19,5
216,21,92,18,36,12,18
137,190,81,46,55,3,12
222,111,62,19,44,14,6
88,200,41,25,50,17,14
22,7,36,6,93,5,14
93,184,93,40,17,11,1
157,120,9,39,12,7,5
94,60,63,36,72,10,16
2,47,23,5,57,3,11
218,213,23,42,81,9,5
225,90,56,16,74,13,17
149,185,55,25,84,9,20
174,167,48,0,29,11,20
156,170,67,3,53,1,3
142,140,36,13,43,15,18
65,168,35,0,17,10,16
90,146,25,13,74,16,17
172,159,17,9,26,11,20
198,84,9,23,43,19,1
248,248,60,0,65,14,6
88,71,57,49,45,11,10
135,56,8,12,43,4,16
34,190,66,5,49,10,19
226,14,74,26,46,17,3
179,191,68,13,39,20,17
210,134,93,34,52,18,9
227,192,84,11,32,17,2
241,210,76,0,98,12,9
241,243,44,6,36,9,9
128,97,47,10,98,17,13
100,85,69,21,90,18,2
182,84,7,26,93,11,9
163,190,44,1,30,6,20
86,210,56,6,15,5,8
129,94,67,32,44,4,2
54,186,74,43,24,14,20
158,76,33,11,93,2,10
54,156,68,22,22,16,4
130,209,5,14,58,12,5
57,12,71,5,57,5,20
93,48,83,33,10,18,17
95,203,27,7,52,18,20
44,138,47,26,69,11,9
20,113,22,50,100,19,14
91,202,2,34,9,18,7
3,181,94,31,69,16,5
208,169,11,31,27,12,19
115,192,77,12,64,7,8
58,23,54,18,28,16,14
211,33,58,6,28,14,19
82,193,25,45,44,4,9
108,105,31,6,40,4,4
137,219,28,15,79,13,16
152,70,47,14,77,4,16
138,189,15,50,48,13,6
75,247,97,26,11,4,7
85,244,84,49,46,11,11
175,27,4,38,70,11,9
137,185,44,22,51,9,4
234,129,49,19,90,12,11
198,237,93,48,74,2,9
43,169,55,22,38,12,15
57,23,92,0,2,18,10
231,224,55,41,67,12,1
205,187,77,33,26,6,5
54,101,1,29,23,12,4
213,106,63,44,38,8,7
103,132,71,24,86,8,10
230,198,93,20,40,18,16
28,67,100,16,25,1,7
169,32,39,43,88,2,0
17,97,24,22,61,15,12
174,7,3,33,31,20,19
4,173,62,1,55,5,4
244,62,21,38,33,14,5
32,92,98,4,54,16,5
147,24,31,4,30,11,8
132,241,28,42,81,11,20
37,243,35,25,99,3,18
35,98,14,48,35,2,11
199,153,34,25,47,9,17
