initial_number_sheep,initial_number_wolves,grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce
159,173,64,12,30,3,0
25,176,1,48,82,3,16
81,203,45,27,22,3,6
108,37,76,49,37,14,11
24,216,95,31,73,13,8
9,94,81,29,35,19,7
71,230,76,46,15,20,12
144,111,46,43,39,3,10
83,33,10,49,97,2,19
146,163,0,25,20,3,19
228,67,63,40,10,10,16
244,160,28,5,55,14,10
157,228,33,9,87,4,6
19,185,48,36,64,13,5
169,205,34,11,7,13,12
111,116,22,16,100,1,10
95,34,59,32,3,12,17
54,53,39,0,100,1,18
117,182,38,22,18,7,15
215,122,60,28,91,19,8
222,102,20,46,20,4,14
176,201,12,41,12,4,1
74,137,28,50,35,11,4
136,66,1,35,99,11,4
32,86,8,48,83,13,13
80,107,81,29,38,7,17
113,89,71,39,68,18,0
30,50,4,2,1,18,2
106,114,72,42,83,15,14
109,182,77,35,53,19,11
87,81,60,11,91,13,18
84,81,53,5,84,8,9
103,164,32,30,72,17,16
52,121,52,15,95,9,5
82,187,86,7,50,10,12
171,45,40,5,43,16,0
47,70,58,4,5,10,6
169,201,42,31,12,11,12
169,0,98,22,46,18,17
132,82,69,41,55,19,7
35,45,81,17,21,16,9
236,11,83,45,43,13,6
127,153,8,8,10,12,8
71,184,78,21,24,20,19
31,83,88,11,95,16,3
14,189,26,29,79,17,7
101,50,100,19,25,16,18
235,25,76,39,90,4,6
248,166,97,6,70,7,17
23,65,37,40,78,10,0
224,167,93,18,10,14,6
184,240,80,31,48,8,10
192,176,63,29,63,19,14
2,99,12,16,85,7,10
80,55,77,6,3,16,19
230,243,86,31,51,6,4
159,14,15,36,72,13,7
57,102,20,27,44,9,11
77,154,95,30,88,11,5
46,121,81,25,57,5,14
66,83,97,1,86,10,4
36,180,53,6,95,9,19
244,172,29,26,33,2,12
88,68,8,13,88,14,19
16,51,64,8,79,15,3
220,166,48,3,51,20,15
29,206,24,47,56,5,11
213,101,55,43,2,5,20
76,23,92,41,50,10,12
234,225,77,1,98,2,11
178,202,52,15,70,20,1
184,98,6,16,72,14,7
88,61,78,45,51,2,4
8,184,61,7,100,1,9
15,212,1,9,83,2,20
149,65,13,36,0,4,7
173,120,76,34,1,10,5
106,46,83,33,1,14,0
13,76,62,9,61,14,3
6,36,55,50,30,8,0
48,130,30,23,81,18,12
5,163,44,1,2,16,1
57,86,39,50,12,12,1
131,52,4,50,82,15,13
62,54,82,11,74,13,12
181,230,77,14,90,8,12
156,53,43,48,91,2,19
214,175,9,22,99,10,4
58,29,24,45,58,7,7
121,121,9,48,11,14,14
203,37,89,14,80,17,18
62,191,31,27,21,13,1
5,224,9,19,71,11,4
85,188,3,20,98,19,20
94,175,67,3,49,14,14
205,51,86,24,46,15,14
23,163,89,20,47,14,5
114,14,92,3,39,14,12
164,207,34,25,30,12,16
136,167,67,29,72,3,1
179,99,4,37,20,14,11
235,208,23,5,55,20,13
31,9,29,33,30,17,13
220,189,44,5,99,7,4
69,235,100,17,70,6,20
28,99,54,21,22,19,16
11,243,96,2,26,5,6
20,135,76,12,34,3,1
248,27,18,12,36,10,10
105,230,5,34,10,1,5
12,198,55,26,65,9,14
16,92,13,45,89,16,13
4,177,60,4,99,20,9
104,58,63,20,62,2,3
108,103,46,18,65,4,7
208,15,66,50,82,15,10
188,186,63,50,76,6,9
61,217,24,27,65,1,13
84,245,43,41,19,2,15
96,72,94,49,46,17,20
163,18,26,2,37,5,1
16,175,74,37,8,11,12
242,177,49,3,32,6,7
76,226,10,8,4,9,8
22,68,5,26,96,9,17
60,142,77,5,86,1,7
116,66,86,4,4,15,5
22,78,45,23,26,11,0
52,181,71,21,42,1,1
54,58,72,13,41,17,17
31,115,10,3,48,1,8
161,214,0,40,78,13,12
1,141,34,24,61,12,0
136,249,44,35,21,20,14
180,24,33,28,49,2,8
191,104,94,14,29,2,14
29,84,65,46,54,14,10
224,72,80,1,99,6,11
82,216,56,43,43,9,11
17,233,80,8,59,8,10
220,18,48,4,40,6,19
64,222,66,14,100,6,7
211,182,97,23,40,19,6
235,139,57,37,63,12,10
74,38,51,36,95,12,0
245,224,10,5,22,18,18
29,250,22,6,42,6,18
233,95,63,28,81,3,6
176,153,5,31,57,4,0
170,9,58,47,48,4,14
188,227,4,46,41,18,18
0,160,47,30,30,15,14
15,105,6,35,30,20,10
72,240,36,46,30,11,5
110,243,22,15,94,4,8
45,86,66,13,8,1,2
121,249,7,43,22,9,8
173,148,28,26,51,9,0
177,104,82,15,0,14,18
102,169,15,34,65,9,12
218,22,57,18,27,9,9
8,224,95,24,48,11,8
229,193,54,48,2,3,0
247,124,2,16,2,14,10
43,64,65,29,58,12,10
9,165,66,38,39,9,17
186,177,51,5,90,6,4
30,178,11,6,19,20,3
45,176,53,17,90,6,3
235,19,34,38,65,1,14
179,153,91,33,7,16,14
3,29,56,44,8,4,10
35,99,71,38,39,4,16
196,177,89,22,50,2,13
10,44,82,20,2,2,16
41,11,28,24,33,14,4
30,109,73,33,17,8,1
175,154,73,34,12,15,20
82,16,10,50,77,13,17
35,215,23,17,43,12,13
170,114,43,29,86,7,20
211,188,85,45,87,18,8
98,133,35,41,68,10,7
16,188,26,26,13,15,0
123,213,27,13,98,4,16
34,19,40,28,1,8,11
220,83,48,8,53,6,18
213,20,30,16,52,18,0
69,200,61,40,36,12,14
76,151,34,38,41,18,3
213,97,72,10,98,20,12
238,154,9,38,38,18,5
191,168,6,4,20,8,20
246,241,34,12,27,20,14
4,157,74,32,11,17,0
137,133,15,22,75,14,15
181,105,28,37,39,6,5
140,140,17,48,64,10,1
60,84,38,3,1,5,8
23,68,86,30,40,8,3
108,233,68,35,53,6,16
51,78,82,6,12,18,17
208,76,73,29,45,10,7
74,54,15,0,34,5,7
39,158,37,42,0,19,2
110,78,22,28,1,16,5
169,236,74,15,30,12,16
33,43,4,16,23,12,11
222,73,44,20,26,20,9
95,176,43,18,19,4,5
155,7,69,4,50,2,14
177,129,51,7,31,11,15
88,35,39,3,15,7,13
129,48,59,32,27,7,6
12,124,60,43,15,14,18
169,108,36,31,19,1,0
241,45,37,24,58,20,4
22,223,29,50,75,5,12
162,234,37,18,64,4,19
26,160,14,7,52,11,12
105,233,1,25,38,6,4
97,130,37,27,78,8,20
107,65,11,41,26,6,6
161,43,22,46,68,4,0
91,182,46,4,82,14,12
216,225,80,27,96,19,11
104,63,96,11,77,16,1
140,9,40,41,85,19,4
222,167,34,29,29,3,13
200,36,74,30,50,14,15
159,240,24,8,31,3,9
97,121,33,49,96,18,18
87,151,31,32,13,1,6
249,139,1,14,11,12,17
205,182,48,33,22,7,13
124,141,84,2,83,14,19
44,133,12,27,44,18,9
155,226,77,26,86,19,20
110,25,18,8,90,13,20
225,14,15,2,55,4,12
95,70,47,7,23,19,0
27,163,60,41,35,19,6
87,242,8,7,77,14,8
187,218,89,12,63,10,19
232,64,35,14,38,12,3
203,163,65,23,13,9,5
210,6,25,20,41,14,17
195,76,46,18,81,17,10
238,226,94,6,51,11,18
169,163,50,29,3,2,5
150,238,80,7,82,7,10
147,112,72,19,8,6,10
51,15,24,28,99,8,12
61,143,8,13,65,17,17
23,233,25,45,68,16,17
76,0,28,8,86,4,4
10,175,80,20,12,3,4
72,232,49,45,98,19,11
192,103,91,35,20,5,18
203,59,55,8,6,11,16
39,227,37,17,24,7,17
195,74,75,5,79,5,13
217,42,93,1,68,10,20
149,20,36,46,62,4,17
41,172,54,20,87,2,15
167,167,7,24,78,10,17
180,236,50,23,16,7,5
9,102,17,45,36,3,6
75,16,51,45,78,2,19
5,53,95,18,33,16,6
219,214,6,20,65,13,2
99,133,56,4,14,9,15
6,213,5,38,95,1,9
188,154,21,21,60,9,11
71,68,70,46,72,2,10
245,23,71,3,25,19,10
220,147,2,28,43,15,6
36,16,57,42,3,12,16
64,243,77,2,13,18,19
63,90,60,35,74,4,20
33,3,91,0,14,5,4
145,37,43,17,100,12,11
189,33,79,7,70,15,9
29,20,60,29,96,20,16
173,170,94,31,42,10,4
211,41,51,18,13,18,19
103,28,32,30,43,14,6
27,155,4,38,19,13,12
15,235,92,49,66,8,16
81,242,74,36,86,6,15
39,138,96,36,92,8,11
43,192,63,0,98,1,19
188,214,54,35,86,12,3
245,19,98,5,58,10,6
172,151,60,12,0,17,20
119,25,8,35,92,20,8
100,171,8,46,53,11,19
6,88,79,18,68,14,20
215,197,19,36,45,11,12
5,87,70,40,32,18,7
145,229,11,41,17,18,16
126,233,89,8,40,20,19
98,73,73,42,40,18,12
215,84,64,33,85,2,20
78,76,5,5,45,12,12
56,88,2,6,51,9,8
137,137,99,22,3,10,16
24,140,16,28,46,12,14
203,245,91,19,77,7,2
2,249,33,18,68,3,20
43,197,13,38,2,7,11
242,98,61,2,88,19,11
208,76,13,11,32,6,19
86,118,72,30,9,6,1
144,8,66,44,52,2,17
239,205,40,18,77,18,20
1,33,1,48,95,3,15
177,165,90,14,62,13,20
237,195,15,10,21,5,2
37,142,62,22,83,20,2
172,239,4,17,84,9,7
14,89,38,2,100,18,7
31,237,5,9,53,1,11
181,59,88,45,14,4,14
200,16,90,15,61,16,17
148,235,68,46,76,8,18
198,173,51,30,74,6,16
116,238,17,13,59,3,2
240,75,2,35,18,5,6
52,200,18,44,68,3,4
21,193,69,5,89,3,11
38,74,55,50,64,9,20
227,83,96,45,26,10,4
5,82,70,46,58,3,8
86,134,43,19,65,19,10
178,176,50,3,81,7,20
226,96,56,24,66,14,12
84,213,7,12,69,4,14
20,8,43,22,0,8,18
151,190,100,9,47,11,20
3,241,91,26,75,7,1
72,10,33,2,74,17,5
30,84,75,35,86,7,7
73,205,8,41,37,1,4
209,225,0,34,55,15,14
95,40,3,23,18,11,17
41,18,15,16,16,17,11
26,86,84,5,99,6,13
182,51,31,47,49,19,4
241,48,12,34,67,7,20
69,34,55,41,29,12,18
49,167,96,48,57,10,18
118,210,48,42,46,5,0
119,88,32,19,94,9,17
127,113,9,19,36,12,15
37,250,38,23,25,18,2
1,100,70,47,55,13,17
153,159,7,15,40,20,1
153,201,50,33,57,13,15
112,56,48,46,27,1,14
167,188,36,10,96,17,7
204,64,71,30,96,3,4
224,87,77,20,73,4,6
218,246,70,44,25,6,2
184,153,23,5,43,10,14
96,155,89,34,86,19,16
246,77,62,25,17,6,6
69,58,64,23,72,20,16
81,222,68,46,2,6,16
162,170,8,43,11,15,9
183,133,25,39,75,20,20
9,183,75,19,3,7,1
110,92,87,29,78,3,8
10,52,9,41,26,10,13
93,91,14,26,80,17,0
95,164,37,31,50,16,17
145,243,49,14,4,13,16
69,225,81,14,16,17,11
247,76,57,37,86,5,6
101,100,75,15,89,13,14
160,19,65,41,39,3,1
63,156,50,5,79,16,3
182,127,62,26,18,7,19
82,175,75,8,24,4,1
134,245,16,49,19,2,13
101,169,96,10,74,13,15
103,52,96,14,27,15,12
180,98,48,46,95,19,15
192,66,80,30,19,10,6
36,54,70,1,41,18,8
83,10,67,30,23,7,18
27,148,76,40,6,12,15
0,13,6,20,94,19,13
78,117,47,4,4,2,3
8,213,49,29,97,10,2
229,102,71,20,22,1,5
150,203,87,45,62,19,7
12,151,56,7,4,18,2
146,44,36,10,95,14,10
245,41,73,9,35,4,11
67,46,46,5,78,18,6
34,70,38,48,51,18,6
217,7,15,33,91,17,9
1,97,29,6,31,9,6
155,160,5,46,24,11,0
219,129,97,21,76,16,14
18,5,30,7,16,13,4
237,61,24,6,67,17,1
83,196,39,49,49,6,5
217,32,49,18,12,6,10
15,59,39,21,22,7,3
186,168,48,38,38,18,7
9,173,7,17,41,9,11
42,215,90,39,44,15,7
46,172,16,19,24,20,3
153,12,43,6,63,8,8
77,157,79,14,38,5,2
235,226,52,32,13,15,13
138,174,68,36,81,5,14
92,125,15,18,12,14,8
9,234,66,7,99,17,14
10,245,94,0,69,13,14
5,70,60,45,81,14,7
182,147,4,13,84,4,3
248,137,45,45,86,2,12
60,95,5,24,23,6,3
0,133,15,30,90,20,3
226,54,72,13,16,12,16
167,107,33,32,6,4,0
16,65,89,29,35,1,9
118,81,3,36,10,6,13
51,160,31,10,31,2,2
86,12,37,49,35,11,19
193,37,41,46,17,5,9
217,93,52,6,79,6,9
226,62,0,13,57,15,14
153,38,58,25,0,8,11
88,148,86,35,18,16,11
161,152,53,46,80,18,7
165,195,39,40,67,7,15
193,91,70,21,99,9,15
104,35,48,7,23,12,7
167,32,59,39,13,12,2
174,52,8,22,12,11,0
57,158,34,37,10,1,18
123,52,88,3,38,16,3
1,24,63,26,59,4,19
244,6,7,24,15,14,5
127,155,27,30,9,12,10
122,163,43,35,86,5,15
46,163,37,2,44,8,10
6,106,92,28,80,20,1
65,189,30,2,36,12,10
57,247,38,17,35,8,13
131,141,74,21,91,6,11
187,79,95,25,51,16,20
11,49,8,14,48,4,16
219,247,15,17,32,19,13
56,187,14,40,37,8,13
212,12,92,14,26,6,10
157,89,7,19,12,5,13
8,34,37,50,20,19,19
154,100,91,19,51,11,3
47,28,83,47,67,10,10
81,47,67,12,21,8,5
155,28,72,47,88,20,8
105,71,7,43,77,11,2
248,214,26,31,60,6,14
77,80,35,1,45,2,2
27,219,34,48,58,7,9
231,47,59,15,98,7,5
96,35,1,45,66,6,17
54,62,17,49,41,16,3
49,171,56,23,27,17,18
11,207,88,35,13,3,14
162,75,76,47,46,1,5
220,175,50,36,11,17,1
31,83,12,11,80,2,12
25,69,84,3,53,11,14
101,19,72,6,39,17,1
206,202,22,50,64,18,5
222,144,39,2,39,18,11
154,26,33,5,16,9,3
139,136,83,33,50,13,13
227,185,17,40,21,17,20
146,84,76,20,13,4,11
78,150,87,3,19,11,12
135,96,1,18,75,5,17
140,51,47,4,51,7,9
160,45,78,11,18,8,7
198,155,92,32,36,5,2
135,148,52,0,55,1,10
87,42,19,1,89,18,19
124,153,21,18,5,8,7
199,218,90,3,84,1,1
78,109,35,14,57,2,9
21,149,2,26,93,9,13
160,111,76,36,28,4,20
201,186,89,16,6,17,14
3,105,97,43,33,9,16
44,117,82,23,44,19,11
99,124,82,1,36,14,13
170,65,62,30,20,19,2
197,206,82,49,46,15,1
10,154,48,11,50,11,14
68,28,44,21,71,6,13
144,75,62,40,100,4,5
88,12,79,28,94,8,10
50,108,47,38,19,11,14
237,34,96,20,79,12,6
204,170,45,50,18,13,19
123,67,12,12,19,5,17
94,240,2,41,71,2,19
37,88,43,47,85,2,8
198,217,62,22,25,6,8
173,110,83,16,41,18,2
87,169,18,25,17,10,3
122,64,24,44,35,9,10
249,126,27,5,82,16,14
23,140,35,2,75,1,13
105,81,83,44,4,16,4
93,12,97,21,22,13,0
243,116,30,15,65,8,3
215,27,77,27,28,10,2
112,88,29,33,52,11,11
118,245,25,32,21,1,1
55,210,14,30,42,3,2
204,48,28,45,64,9,18
155,151,71,35,21,19,14
24,128,24,37,57,14,15
117,193,3,18,23,7,17
213,116,59,0,65,7,20
114,239,36,13,65,12,20
16,105,99,34,54,15,2
230,33,41,14,54,9,12
169,157,20,44,51,8,8
208,236,53,24,97,14,17
176,241,99,24,62,13,11
17,41,80,43,93,10,12
182,148,85,40,4,13,11
127,72,49,9,78,8,3
231,19,3,4,36,5,19
201,52,74,9,90,15,18
197,249,57,38,16,4,2
183,248,57,33,32,17,19
68,84,67,34,80,8,2
238,180,22,14,0,13,4
60,14,95,29,30,5,18
133,164,30,3,35,14,15
164,207,57,13,79,2,14
101,75,6,25,99,6,6
77,226,82,7,36,14,9
182,14,68,36,98,1,6
104,213,4,50,73,20,0
92,17,44,37,1,10,8
54,17,80,23,85,14,9
24,159,42,43,22,19,19
237,58,100,19,20,9,18
75,246,24,37,5,10,7
39,55,3,9,5,16,4
17,135,96,49,43,15,18
62,6,2,48,48,14,15
3,96,23,28,59,4,20
226,143,45,24,82,13,10
104,133,23,22,95,11,1
69,146,65,24,9,11,17
65,13,12,37,100,18,12
98,235,89,7,97,15,14
101,32,44,42,21,10,15
199,197,24,11,18,5,16
43,66,39,31,13,18,19
204,140,82,6,89,6,14
201,167,33,22,46,3,13
125,238,22,31,88,7,1
33,49,83,23,54,10,11
248,84,98,15,53,18,14
4,219,83,35,11,1,18
138,90,19,6,47,17,8
98,100,80,34,11,19,0
74,111,60,2,78,12,9
6,166,3,27,29,5,3
144,243,33,31,34,17,15
90,9,1,45,76,18,17
16,135,3,7,66,13,6
143,68,99,4,5,8,12
60,116,85,17,42,13,8
160,171,93,2,48,13,0
16,45,56,37,54,4,19
180,33,43,11,85,9,15
152,31,37,32,48,8,14
242,10,61,32,95,20,3
115,213,89,24,68,6,16
104,122,88,44,54,9,8
20,185,64,49,88,7,17
38,72,31,40,73,7,9
77,9,90,14,28,13,10
119,174,4,17,35,2,1
10,234,30,11,59,14,2
171,138,61,5,96,8,13
186,204,38,24,86,16,6
17,93,99,27,16,2,6
148,53,51,47,21,15,13
70,132,39,2,67,9,18
60,177,72,33,16,4,17
159,50,95,20,23,3,19
108,50,15,14,92,20,6
15,221,50,4,30,13,12
168,183,35,13,17,13,19
218,4,12,37,1,16,20
231,108,60,25,16,13,8
98,109,53,38,75,20,4
52,199,0,17,51,9,2
74,95,56,33,52,4,14
80,164,58,27,77,6,19
103,82,30,10,44,15,7
77,190,69,49,73,12,5
11,156,69,31,2,7,16
4,76,51,6,56,8,9
120,82,17,12,92,7,15
1,80,0,47,68,5,8
161,9,98,49,43,17,14
101,243,40,14,91,18,14
170,236,40,12,58,6,9
197,83,19,24,4,9,0
30,59,73,27,89,11,18
65,64,74,13,22,3,9
171,33,54,29,7,6,19
184,242,13,5,46,17,18
24,81,74,39,43,5,7
63,130,33,49,61,19,5
205,249,77,2,74,9,0
90,164,89,42,22,1,12
72,214,22,33,61,5,18
145,235,38,11,91,17,14
43,169,88,18,67,20,1
185,210,94,27,91,13,16
210,159,15,14,81,15,16
146,174,55,35,77,11,7
37,95,55,49,51,17,15
87,135,30,23,5,12,0
138,116,90,49,87,14,6
190,142,14,34,100,7,14
209,158,84,44,10,3,11
40,215,88,43,97,13,16
23,86,68,3,29,9,12
187,87,1,2,40,12,19
57,81,9,32,52,20,12
70,125,8,15,91,15,7
119,9,2,30,20,7,7
68,18,39,37,83,11,10
3,185,58,36,96,5,11
144,204,93,42,74,9,15
199,9,3,35,84,19,4
182,127,13,17,92,10,0
86,244,80,13,26,19,20
233,5,5,22,66,15,18
4,150,20,34,15,9,15
121,231,43,23,91,2,9
59,87,39,45,87,16,1
44,64,96,25,45,1,4
27,123,9,48,90,1,3
206,90,32,20,58,7,7
116,80,86,6,5,6,20
62,144,54,9,62,5,12
141,70,13,49,72,20,19
199,230,61,18,45,17,1
206,144,20,2,94,13,14
141,111,62,21,67,13,18
37,78,56,30,93,16,5
231,118,89,46,39,17,9
35,131,40,34,100,7,19
11,102,38,25,37,17,1
37,101,18,29,85,6,20
84,52,0,42,8,10,1
247,238,24,16,79,11,4
174,44,72,50,15,9,12
82,16,71,43,32,8,1
209,85,95,45,51,13,6
53,64,21,37,24,6,12
166,82,65,21,28,5,2
72,214,38,23,27,3,11
63,60,21,6,63,16,3
204,180,37,4,25,7,15
80,108,76,34,96,8,6
12,209,37,34,7,4,14
202,181,27,18,63,9,9
249,158,85,31,64,8,14
121,12,50,46,15,17,2
107,235,39,38,68,16,20
153,3,4,2,52,19,17
195,3,66,42,33,1,4
126,51,55,28,36,3,12
88,73,34,12,0,20,3
169,151,98,18,94,1,12
30,56,62,43,18,7,9
118,57,100,34,52,17,12
64,250,87,37,38,15,13
210,38,70,26,62,6,11
59,210,97,46,17,5,10
176,62,14,46,53,18,15
59,124,62,24,5,20,16
49,102,47,35,63,3,15
171,61,37,13,29,13,20
160,190,2,38,64,19,1
193,180,35,6,52,8,18
231,196,61,23,92,13,18
35,83,59,4,88,18,12
80,202,42,8,50,16,7
193,158,94,7,75,17,16
97,80,69,16,53,6,5
124,79,100,38,40,17,19
198,126,29,5,28,6,11
155,250,98,4,42,8,17
74,134,97,24,9,19,19
64,238,29,34,72,11,9
39,27,37,39,22,10,18
160,127,14,13,93,1,8
190,138,20,11,47,18,7
16,191,58,46,80,2,9
35,51,41,18,98,9,10
51,184,75,49,30,15,5
208,200,93,29,83,12,9
58,179,78,17,38,5,10
72,122,86,22,90,12,12
126,250,39,25,6,19,13
2,19,56,33,89,9,5
108,87,72,45,1,13,5
107,11,67,50,34,8,10
200,205,85,0,11,19,12
188,207,86,16,58,17,20
108,135,50,15,69,15,18
12,50,63,5,25,1,17
27,10,66,37,16,14,18
20,14,66,25,17,4,13
229,222,27,45,52,1,13
68,220,97,29,92,3,19
111,27,16,34,49,11,1
175,23,82,9,12,4,10
35,143,51,45,83,16,0
15,56,53,49,74,6,13
162,160,8,13,99,13,13
115,194,53,33,42,11,6
230,211,29,32,73,13,5
33,208,86,40,75,3,9
136,215,26,39,60,9,18
119,202,83,7,10,6,20
53,73,1,0,20,6,6
172,8,7,35,26,8,19
28,191,34,38,22,20,20
142,9,54,28,10,1,12
224,89,98,28,35,1,19
190,52,43,31,98,1,20
87,39,3,45,39,13,3
106,40,72,19,22,1,1
135,193,52,34,94,11,4
8,117,23,7,57,5,10
39,24,39,21,79,17,17
10,206,9,4,10,19,9
63,159,14,21,47,3,2
185,235,8,15,93,12,6
226,17,13,10,57,7,3
29,243,1,17,0,17,19
101,83,64,45,84,12,6
243,110,17,1,54,3,14
216,84,61,50,64,1,7
232,23,28,15,92,9,14
36,13,91,26,16,13,18
49,231,37,39,92,2,2
76,200,28,36,12,17,20
80,46,58,22,9,20,6
201,201,71,40,70,9,6
180,179,44,4,46,14,9
181,77,10,39,33,2,10
180,62,28,19,28,6,0
249,56,70,3,78,16,6
239,239,51,41,28,18,14
240,144,52,33,50,15,12
51,8,11,14,31,3,17
58,124,91,12,55,2,17
249,203,35,48,92,13,4
83,41,15,35,48,16,20
185,227,74,35,89,1,4
15,237,97,23,76,12,7
135,174,17,50,92,15,12
0,185,29,50,33,5,7
80,34,34,16,16,5,15
203,198,49,0,35,19,5
45,17,82,50,78,16,6
195,247,5,26,35,11,2
52,4,51,9,85,7,17
152,127,17,45,25,3,8
188,43,48,23,35,9,20
51,184,44,3,70,8,7
104,90,46,43,49,13,15
236,126,47,49,66,18,6
168,107,1,9,1,12,10
220,179,97,33,85,15,3
213,133,18,1,0,14,14
36,238,27,49,66,18,2
81,24,80,22,54,14,2
229,199,69,5,51,19,16
71,0,98,36,18,14,10
134,10,0,13,30,13,0
237,198,63,36,61,19,18
108,194,51,34,55,8,6
163,215,39,16,20,9,8
143,131,28,5,61,4,17
83,195,3,21,3,2,6
162,242,15,7,60,3,15
229,239,76,38,50,11,10
180,95,53,25,4,14,1
41,165,3,25,95,19,15
37,71,27,36,79,10,5
172,104,90,39,46,12,19
54,41,58,6,22,7,16
161,217,79,9,17,14,1
114,162,100,29,11,13,19
171,122,60,38,88,20,7
110,127,64,11,4,18,12
80,30,52,32,28,12,4
173,116,91,49,48,18,5
151,22,4,24,65,14,4
153,123,19,34,38,11,4
111,160,27,22,47,15,9
115,30,37,22,62,6,4
91,209,53,41,72,19,3
250,250,18,17,31,11,12
